"Aage","Y",,,5,9,"","test"
"Abel","Y",,,3,3,"",
"Abraham","Y","Hebreska og merkir faðir margra þjóða (1. Mós. 17/5).",,7,5,"",
"Adam","Y","Hebreska og merkir maður, manneskja (1. Mós. 2,7).",,332,112,"",
"Addi","Y",,,1,3,"",
"Adel","Y",,,3,3,"",
"Adíel","Y",,,0,0,"",
"Adólf","Y","Úr þýsku, adal Wolf - göfugur úlfur.",,4,4,"",
"Adrían","Y","AfHadrianus: frá Hadria. Hadria var bær í norður Ítalíu, Adriatic Sea hefur nafn sitt þaðan.",,19,3,"",
"Adríel","Y",,,0,3,"",
"Aðalberg","Y",,,4,1,"",
"Aðalbergur","Y","Göfugur bjargvættur.",,3,0,"",
"Aðalbert","Y",,,0,2,"",
"Aðalbjörn","Y","Göfugur björn",,45,13,"",
"Aðalborgar","Y",,,1,0,"",
"Aðalgeir","Y","Göfugt spjót, vopn.",,38,11,"",
"Aðalmundur","Y","Göfug gjöf, eða vörn.",,1,0,"",
"Aðalráður","Y",,,0,0,"",
"Aðalsteinn","Y","Göfugur steinn, norræn mynd engilsaxnesks nafns, Ethelstan.",,444,110,"",
"Aðólf","Y",,,0,1,"",
"Agnar","Y","Norrænt nafn dregið af agi: ógn, og -arr sem er stytting á fornnorrænu orði harjaR: hermaður.",,290,102,"",
"Agni","Y",,,2,2,"",
"Ágúst","Y","Úr latínu Augustus: virðulegur, göfugur. Upphaflega heiðurstitill. Ágúst keisari (Lúk. 2,1).",,874,580,"",
"Áki","Y","Forfaðir, ái.",,36,72,"",
"Albert","Y","Úr þýsku, dregið af aðal, göfugur, og bjartur eða borinn: ættgöfugur.",,207,97,"",
"Aldar","Y",,,1,6,"",
"Alex","Y",,,162,72,"",
"Alexander","Y","Úr grísku: verndari, eða bjargvættur manna. Alexander mikli í Makedóníu (d. 323 f. Kr.).",,730,188,"",
"Alexíus","Y",,,4,1,"",
"Álfar","Y",,,1,1,"",
"Álfgeir","Y","Vopn álfa.",,5,4,"",
"Álfgrímur","Y",,,4,0,"",
"Alfons","Y","Úr arabísku og merkir gæfusamur.",,7,4,"",
"Alfred","Y",,,14,3,"",
"Alfreð","Y","Úr ensku: álfur- og friður, eða álfur og ráð.",,143,46,"",
"Álfþór","Y",,,1,1,"",
"Álfur","Y","Huldumaður. Álfur egðski landnámsmaður, af nafni hans er dregið nafnið Ölfus.",,2,1,"",
"Ali","Y",,,9,15,"",
"Allan","Y","Úr ensku eða keltnesku og merkir þá líklega: samræmi.",,25,13,"",
"Almar","Y","Norrænt nafn, sennilega álmur, tré, sem notað var í boga, og -arr: hermaður.",,133,32,"",
"Alrekur","Y",,,0,0,"",
"Alvar","Y",,,15,10,"",
"Alvin","Y",,,11,5,"",
"Amír","Y",,,0,0,"",
"Amos","Y","Hebreskt Biblínafn höfundar Amosbókar. Nafnið merkir ""að bera; að halda á.""",,1,1,"",
"Ámundi","Y","Ágæt vörn.",,29,0,"",
"Anders","Y",,,13,4,"",
"André","Y",,,8,11,"",
"Andreas","Y",,,33,17,"",
"Andrés","Y","Úr grísku og merkir karlmannlegur. Andrés postuli er verndardýrlingur Skota. 30/11. Andrésarmessa (Jóh. 1,40).",,286,76,"",
